Text,Country,City,Pollution,Value,Date
Club Deportivo 23 de Marzo,Chile,Calama,6.71,µg/m³,2020-04-24 11:00:00
Colegio Pedro Vergara Keller,Chile,Calama,1.65,µg/m³,2020-04-19 12:00:00
Cerrillos,Chile,Cerrillos,18.0,µg/m³,2020-03-19 19:00:00
HR0010A,Croatia,Brodsko-posavska,14.1,µg/m³,2020-04-24 08:00:00
HR0012A,Croatia,Krapinsko-zagorska,14.0,µg/m³,2020-04-24 08:00:00
HR0013A,Croatia,Licko-senjska,17.1,µg/m³,2020-04-24 08:00:00
US Diplomatic Post: San Jose,Costa Rica,San Jose,8.0,µg/m³,2020-04-24 07:00:00
HR0011A,Croatia,Osjecko-baranjska,16.4,µg/m³,2020-04-24 08:00:00
US Diplomatic Post: Curacao,Curaçao,Curacao,6.0,µg/m³,2020-04-24 07:00:00
HR0015A,Croatia,Istarska,14.3,µg/m³,2020-04-24 08:00:00
BAR-TORR - Barbosa - Torre Social,Colombia,Barbosa,10.3164,µg/m³,2020-04-24 11:00:00
CAL-JOAR - Caldas - E U Joaquín Aristizabal,Colombia,Caldas,15.5449,µg/m³,2020-04-24 11:00:00
ENV-HOSP - Envigado - E.S.E. Santa Gertrudis,Colombia,Envigado,9.44948,µg/m³,2020-04-24 11:00:00
EST-HOSP - La Estrella - Hospital,Colombia,La Estrella,14.0,µg/m³,2020-04-24 11:00:00
US Diplomatic Post: Bogota,Colombia,Bogota,13.0,µg/m³,2020-04-24 07:00:00
COP-CVID - Copacabana - Ciudadela Educativa La Vida,Colombia,Copacabana,4.63894,µg/m³,2020-04-24 11:00:00
BEL-FEVE - Bello - I.E. Fernando Vélez,Colombia,Bello,5.8413699999999995,µg/m³,2020-04-24 11:00:00
ITA-CONC - Itagüí - I.E. Concejo Municipal de Itagüí,Colombia,Itagüí,15.0,µg/m³,2020-04-24 11:00:00
GIR-SOSN - Girardota - S.O.S Aburrá Norte,Colombia,Medellin,16.0,µg/m³,2020-04-24 11:00:00
ITA-CJUS - Itagüí - Casa de Justicia Itagüí,Colombia,Medellin,8.0,µg/m³,2020-04-24 11:00:00
Beijing US Embassy,China,Beijing,51.0,µg/m³,2020-04-24 11:00:00
CAL-LASA - Caldas - Corporacion Universitaria Lasallista,Colombia,Medellin,12.0,µg/m³,2020-04-24 11:00:00
CEN-TRAF - Estación Tráfico Centro,Colombia,Medellin,12.0,µg/m³,2020-04-24 11:00:00
Guangzhou,Switzerland,N/A,23.0,µg/m³,2020-04-24 11:00:00
Shenyang,Switzerland,N/A,45.0,µg/m³,2020-04-24 10:00:00
Shanghai,Switzerland,N/A,37.0,µg/m³,2020-04-24 08:00:00
新建　,China,七台河市,33.0,µg/m³,2020-01-07 09:00:00
Chengdu,Switzerland,N/A,27.0,µg/m³,2020-04-24 11:00:00
葫头沟(对照点),China,七台河市,9.0,µg/m³,2020-04-24 10:00:00
新建矿广场,China,七台河市,18.0,µg/m³,2020-04-24 10:00:00
三元区政府,China,三明市,22.0,µg/m³,2020-04-24 10:00:00
三明二中,China,三明市,15.0,µg/m³,2020-04-24 10:00:00
河东子站,China,三亚市,6.0,µg/m³,2020-04-24 10:00:00
河西子站,China,三亚市,6.0,µg/m³,2020-04-24 10:00:00
CZ0ARIE,Czech Republic,Hlavní město Praha,31.0,µg/m³,2020-04-24 09:00:00
CZ0ALIB,Czech Republic,Hlavní město Praha,20.5,µg/m³,2020-04-24 09:00:00
CZ0ASTO,Czech Republic,Hlavní město Praha,14.0,µg/m³,2020-04-24 09:00:00
CZ0BBNI,Czech Republic,Jihomoravský,14.0,µg/m³,2020-04-24 09:00:00
CZ0BBDN,Czech Republic,Jihomoravský,29.0,µg/m³,2020-04-24 09:00:00
CZ0BBNV,Czech Republic,Jihomoravský,17.0,µg/m³,2020-04-24 08:00:00
CZ0CCBD,Czech Republic,Jihočeský,21.0,µg/m³,2020-04-24 09:00:00
FI00893,Finland,Kymenlaakso,2.9446812,µg/m³,2020-04-24 08:00:00
US Diplomatic Post: Abidjan,Côte d'Ivoire,Abidjan,32.0,µg/m³,2020-04-24 11:00:00
FI00280,Finland,South Karelia,4.0,µg/m³,2020-04-24 10:00:00
FI00349,Finland,Southwest Finland,2.1996746,µg/m³,2020-04-24 10:00:00
FI00838,Finland,Pirkanmaa,3.4797184000000003,µg/m³,2020-04-24 10:00:00
FI00586,Finland,Ostrobothnia,3.0,µg/m³,2020-04-24 10:00:00
FI00208,Finland,Uusimaa,2.2130970000000003,µg/m³,2020-04-24 10:00:00
FI00801,Finland,Pirkanmaa,0.8608392,µg/m³,2020-04-24 10:00:00
FI00564,Finland,Uusimaa,6.301361,µg/m³,2020-04-24 10:00:00
FI00370,Finland,Uusimaa,1.375558,µg/m³,2020-04-24 10:00:00
FI00425,Finland,Uusimaa,2.191232,µg/m³,2020-04-24 10:00:00
FI00761,Finland,Uusimaa,3.196193,µg/m³,2020-01-02 05:00:00
Addis Ababa Central,Ethiopia,N/A,49.0,µg/m³,2020-04-24 10:00:00
EE0018A,Estonia,Harjumaa,1.722,µg/m³,2020-04-24 12:00:00
EE0019A,Estonia,Ida-Virumaa,5.397,µg/m³,2020-04-24 12:00:00
EE0011R,Estonia,Saaremaa,5.489,µg/m³,2020-04-24 12:00:00
FR33305,France,Ain,10.0,µg/m³,2020-04-24 09:00:00
EE0021A,Estonia,Tartumaa,1.7080000000000002,µg/m³,2020-04-24 12:00:00
EE0009R,Estonia,Lääne-Virumaa,8.048,µg/m³,2020-04-24 12:00:00
EE0016A,Estonia,Jõgevamaa,3.012,µg/m³,2020-04-24 12:00:00
FR24039,France,Alpes-de-Haute-Provence,10.8,µg/m³,2020-04-24 08:00:00
FR18080,France,Aisne,40.9,µg/m³,2020-04-24 09:00:00
