text,pollution,date
"US Diplomatic Post: Kabul, ,in ,Kabul,, ,Afghanistan",31,2020/04/24 10:30
"Wyong, ,in ,Central Coast,, ,Australia",19.9,2020/04/24 11:00
"US Diplomatic Post: Algiers, ,in ,Algiers,, ,Algeria",15.8,2020/04/24 07:00
"AT10001, ,in ,Burgenland,, ,Austria",7.63725,2020/04/24 10:00
"SPARTAN - CITEDEF, ,in ,Buenos Aires,, ,Argentina",18.1,2015/04/15 00:00
"AT0ILL1, ,in ,Burgenland,, ,Austria",9.99,2020/04/24 10:00
"AT2KA71, ,in ,Kärnten,, ,Austria",7.335,2020/04/24 10:00
"AT2KA21, ,in ,Kärnten,, ,Austria",11.635,2020/04/24 10:00
"AT30104, ,in ,Niederösterreich,, ,Austria",12.5,2020/04/24 10:00
"AT30407, ,in ,Niederösterreich,, ,Austria",16.5,2020/04/24 10:00
"AT31413, ,in ,Niederösterreich,, ,Austria",17.5,2020/04/24 09:00
"AT31902, ,in ,Niederösterreich,, ,Austria",17.5,2020/04/24 09:00
"AT2WO15, ,in ,Kärnten,, ,Austria",14.645,2020/04/24 10:00
"AT32301, ,in ,Niederösterreich,, ,Austria",10,2020/04/24 10:00
"AT0ENK1, ,in ,Oberösterreich,, ,Austria",15.5,2020/04/18 11:00
"AT32701, ,in ,Niederösterreich,, ,Austria",21.5,2020/04/24 09:00
"AT4S108, ,in ,Oberösterreich,, ,Austria",7.9230003,2020/04/24 10:00
"Antofagasta, ,in ,Antofagasta,, ,Chile",10,2020/04/24 11:00
"AT4S125, ,in ,Oberösterreich,, ,Austria",7.9195,2020/04/24 10:00
"Alto Hospicio, ,in ,Alto Hospicio,, ,Chile",9,2020/04/24 11:00
"AT0ZOE2, ,in ,Oberösterreich,, ,Austria",9.25,2020/04/24 10:00
"Arica, ,in ,Arica,, ,Chile",17.59,2020/04/24 11:00
"Progreso, ,in ,Cabrero,, ,Chile",0,2017/06/28 15:00
"Vialidad, ,in ,Aysén,, ,Chile",35,2020/04/24 10:00
"Estación Centro, ,in ,Calama,, ,Chile",0,2019/02/09 01:00
"Santa Margarita, ,in ,Catemu,, ,Chile",0,2017/06/28 13:00
"Club Deportivo 23 de Marzo, ,in ,Calama,, ,Chile",6.71,2020/04/24 11:00
"Colegio Pedro Vergara Keller, ,in ,Calama,, ,Chile",1.65,2020/04/19 12:00
"Romeral, ,in ,Catemu,, ,Chile",0,2017/06/28 16:00
"Cerrillos, ,in ,Cerrillos,, ,Chile",18,2020/03/19 19:00
"HR0010A, ,in ,Brodsko-posavska,, ,Croatia",14.1,2020/04/24 08:00
"HR0012A, ,in ,Krapinsko-zagorska,, ,Croatia",14,2020/04/24 08:00
"HR0013A, ,in ,Licko-senjska,, ,Croatia",17.1,2020/04/24 08:00
"HR0020A, ,in ,Dubrovacko-neretvanska,, ,Croatia",1,2019/12/31 22:00
"US Diplomatic Post: San Jose, ,in ,San Jose,, ,Costa Rica",8,2020/04/24 07:00
"HR0011A, ,in ,Osjecko-baranjska,, ,Croatia",16.4,2020/04/24 08:00
"US Diplomatic Post: Curacao, ,in ,Curacao,, ,Curaçao",6,2020/04/24 07:00
"HR0015A, ,in ,Istarska,, ,Croatia",14.3,2020/04/24 08:00
"BAR-TORR - Barbosa - Torre Social, ,in ,Barbosa,, ,Colombia",10.3164,2020/04/24 11:00
"CAL-JOAR - Caldas - E U Joaquín Aristizabal, ,in ,Caldas,, ,Colombia",15.5449,2020/04/24 11:00
"ENV-HOSP - Envigado - E.S.E. Santa Gertrudis, ,in ,Envigado,, ,Colombia",9.44948,2020/04/24 11:00
"EST-HOSP - La Estrella - Hospital, ,in ,La Estrella,, ,Colombia",14,2020/04/24 11:00
"US Diplomatic Post: Bogota, ,in ,Bogota,, ,Colombia",13,2020/04/24 07:00
"COP-CVID - Copacabana - Ciudadela Educativa La Vida, ,in ,Copacabana,, ,Colombia",4.63894,2020/04/24 11:00
"BEL-FEVE - Bello - I.E. Fernando Vélez, ,in ,Bello,, ,Colombia",5.84137,2020/04/24 11:00
"ITA-CONC - Itagüí - I.E. Concejo Municipal de Itagüí, ,in ,Itagüí,, ,Colombia",15,2020/04/24 11:00
"GIR-SOSN - Girardota - S.O.S Aburrá Norte, ,in ,Medellin,, ,Colombia",16,2020/04/24 11:00
"MED-ALTA - Medellín, Altavista - I.E. Pedro Octavio Amado, ,in ,Medellin,, ,Colombia",5.93591,2020/04/24 11:00
"ITA-CJUS - Itagüí - Casa de Justicia Itagüí, ,in ,Medellin,, ,Colombia",8,2020/04/24 11:00
"Beijing US Embassy, ,in ,Beijing,, ,China",51,2020/04/24 11:00
"Anqing Lian Fu Hua Yuan, ,in ,Anqing,, ,China",6,2018/08/16 04:00
"CAL-LASA - Caldas - Corporacion Universitaria Lasallista, ,in ,Medellin,, ,Colombia",12,2020/04/24 11:00
"SPARTAN - Tsinghua University, ,in ,Beijing,, ,China",173,2015/10/15 16:00
"CEN-TRAF - Estación Tráfico Centro, ,in ,Medellin,, ,Colombia",12,2020/04/24 11:00
"Guangzhou, ,in ,N/A,, ,Switzerland",23,2020/04/24 11:00
"Shenyang, ,in ,N/A,, ,Switzerland",45,2020/04/24 10:00
"Shanghai, ,in ,N/A,, ,Switzerland",37,2020/04/24 08:00
"新建　, ,in ,七台河市,, ,China",33,2020/01/07 09:00
"Chengdu, ,in ,N/A,, ,Switzerland",27,2020/04/24 11:00
"葫头沟(对照点), ,in ,七台河市,, ,China",9,2020/04/24 10:00
"新建矿广场, ,in ,七台河市,, ,China",18,2020/04/24 10:00
"环保局, ,in ,七台河市,, ,China",N/A,N/A
"三元区政府, ,in ,三明市,, ,China",22,2020/04/24 10:00
"三明二中, ,in ,三明市,, ,China",15,2020/04/24 10:00
"河东子站, ,in ,三亚市,, ,China",6,2020/04/24 10:00
"河西子站, ,in ,三亚市,, ,China",6,2020/04/24 10:00
"CZ0ARIE, ,in ,Hlavní město Praha,, ,Czech Republic",31,2020/04/24 09:00
"CZ0ASMI, ,in ,Hlavní město Praha,, ,Czech Republic",7,2019/04/12 06:00
"CZ0ALIB, ,in ,Hlavní město Praha,, ,Czech Republic",20.5,2020/04/24 09:00
"CZ0ASTO, ,in ,Hlavní město Praha,, ,Czech Republic",14,2020/04/24 09:00
"CZ0BBNI, ,in ,Jihomoravský,, ,Czech Republic",14,2020/04/24 09:00
"CZ0BBDN, ,in ,Jihomoravský,, ,Czech Republic",29,2020/04/24 09:00
"CZ0BBNV, ,in ,Jihomoravský,, ,Czech Republic",17,2020/04/24 08:00
"CZ0CCBD, ,in ,Jihočeský,, ,Czech Republic",21,2020/04/24 09:00
"FI00893, ,in ,Kymenlaakso,, ,Finland",2.9446812,2020/04/24 08:00
"FI00446, ,in ,Northern Ostrobothnia,, ,Finland",-1.5866826,2020/04/24 10:00
"US Diplomatic Post: Abidjan, ,in ,Abidjan,, ,Côte d'Ivoire",32,2020/04/24 11:00
"FI00363, ,in ,Northern Savonia,, ,Finland",6.4,2018/12/09 23:00
"FI00280, ,in ,South Karelia,, ,Finland",4,2020/04/24 10:00
"FI00349, ,in ,Southwest Finland,, ,Finland",2.1996746,2020/04/24 10:00
"FI00838, ,in ,Pirkanmaa,, ,Finland",3.4797184,2020/04/24 10:00
"FI00586, ,in ,Ostrobothnia,, ,Finland",3,2020/04/24 10:00
"FI00606, ,in ,South Karelia,, ,Finland",N/A,N/A
"FI00208, ,in ,Uusimaa,, ,Finland",2.213097,2020/04/24 10:00
"FI00801, ,in ,Pirkanmaa,, ,Finland",0.8608392,2020/04/24 10:00
"FI00564, ,in ,Uusimaa,, ,Finland",6.301361,2020/04/24 10:00
"FI00370, ,in ,Uusimaa,, ,Finland",1.375558,2020/04/24 10:00
"FI00425, ,in ,Uusimaa,, ,Finland",2.191232,2020/04/24 10:00
"FI00761, ,in ,Uusimaa,, ,Finland",3.196193,2020/01/02 05:00
"US Diplomatic Post: Addis Ababa School, ,in ,Addis Ababa,, ,Ethiopia",-999,2020/04/24 07:00
"Addis Ababa Central, ,in ,N/A,, ,Ethiopia",49,2020/04/24 10:00
"EE0018A, ,in ,Harjumaa,, ,Estonia",1.722,2020/04/24 12:00
"EE0019A, ,in ,Ida-Virumaa,, ,Estonia",5.397,2020/04/24 12:00
"EE0011R, ,in ,Saaremaa,, ,Estonia",5.489,2020/04/24 12:00
"FR33305, ,in ,Ain,, ,France",10,2020/04/24 09:00
"EE0021A, ,in ,Tartumaa,, ,Estonia",1.708,2020/04/24 12:00
"Evreux  Boulevard de Normandie, ,in ,AIR NORMAND,, ,France",38.5,2016/12/04 18:00
"EE0009R, ,in ,Lääne-Virumaa,, ,Estonia",8.048,2020/04/24 12:00
"EE0016A, ,in ,Jõgevamaa,, ,Estonia",3.012,2020/04/24 12:00
"Maison Parc Brotonne, ,in ,AIR NORMAND,, ,France",10.58,2017/07/18 20:00
"FR18042, ,in ,Aisne,, ,France",N/A,N/A
"Rouen Le Conquerant, ,in ,AIR NORMAND,, ,France",35.75,2016/12/05 17:00
"FR24039, ,in ,Alpes-de-Haute-Provence,, ,France",10.8,2020/04/24 08:00
"FR18080, ,in ,Aisne,, ,France",40.9,2020/04/24 09:00
"FR24018, ,in ,Alpes-de-Haute-Provence,, ,France",4.5,2020/04/20 20:00
"Valence Trafic, ,in ,AIR RHONE ALPES,, ,France",14.75,2017/04/20 14:00
"FR07022, ,in ,Allier,, ,France",18.3,2020/04/24 09:00
"DEBY001, ,in ,Bayern,, ,Germany",11.15,2020/04/24 01:00
"DEBY002, ,in ,Bayern,, ,Germany",14.89,2020/04/24 01:00
"FR24036, ,in ,Alpes-Maritimes,, ,France",11.6,2020/04/24 09:00
"DEBY004, ,in ,Bayern,, ,Germany",6.68,2020/04/24 01:00
"FR24035, ,in ,Alpes-Maritimes,, ,France",11.5,2020/04/24 06:00
"DEBY005, ,in ,Bayern,, ,Germany",8.39,2020/04/24 01:00
"DEBY007, ,in ,Bayern,, ,Germany",19.6,2020/04/24 01:00
"DEBY009, ,in ,Bayern,, ,Germany",13.04,2020/04/24 01:00
"DEBY028, ,in ,Bayern,, ,Germany",13.58,2020/04/24 01:00
"DEBY014, ,in ,Bayern,, ,Germany",9.95,2020/04/24 01:00
"DEBY031, ,in ,Bayern,, ,Germany",10.77,2020/04/24 01:00
"DEBY012, ,in ,Bayern,, ,Germany",8.02,2020/04/24 01:00
"DEBY013, ,in ,Bayern,, ,Germany",10.65,2020/04/24 01:00
"DEBY021, ,in ,Bayern,, ,Germany",16.17,2020/04/24 01:00
"DEBY035, ,in ,Bayern,, ,Germany",15.24,2020/04/24 01:00
"DEBY037, ,in ,Bayern,, ,Germany",16.94,2020/04/24 01:00
"ADEPA - Asylum Down, ,in ,Accra,, ,Ghana",21.65,2007/04/08 06:54
"DEBY039, ,in ,Bayern,, ,Germany",13.11,2020/04/24 01:00
"ELA - East Legon, ,in ,Accra,, ,Ghana",17.92,2008/08/17 07:20
"ADT - Asylum Down, ,in ,Accra,, ,Ghana",33.07,2007/04/08 06:20
"ADA - Asylum Down, ,in ,Accra,, ,Ghana",28.81,2008/08/17 06:24
"JTA - Jamestown, ,in ,Accra,, ,Ghana",66.64,2008/08/17 07:15
"ELT - East Legon, ,in ,Accra,, ,Ghana",19.4,2007/09/05 06:50
"ELC - East Legon, ,in ,Accra,, ,Ghana",11.41,2007/09/05 08:51
"JTT - Jamestown, ,in ,Accra,, ,Ghana",14.91,2007/07/11 07:25
"JTC - Jamestown, ,in ,Accra,, ,Ghana",51.77,2007/02/09 07:00
"NMT - Nima, ,in ,Accra,, ,Ghana",30.59,2008/08/11 07:03
"Calgary Central2, ,in ,ALBERTA,, ,Canada",1.9,2020/04/24 10:00
"NMA - Nima, ,in ,Accra,, ,Ghana",24.66,2008/08/17 08:08
"Central/Western, ,in ,Central & Western,, ,Hong Kong",21.8,2020/04/24 10:00
"Eastern, ,in ,Eastern,, ,Hong Kong",17.2,2020/04/24 10:00
"Causeway Bay, ,in ,Causeway Bay,, ,Hong Kong",39.3,2020/04/24 10:00
"Kwun Tong, ,in ,Kowloon,, ,Hong Kong",28.3,2020/04/24 10:00
"Sha Tin, ,in ,New Territories,, ,Hong Kong",24.3,2020/04/24 10:00
"Sham Shui Po, ,in ,Kowloon,, ,Hong Kong",19.1,2020/04/24 10:00
"Tsuen Wan, ,in ,New Territories,, ,Hong Kong",25.5,2020/04/24 10:00
"Kwai Chung, ,in ,New Territories,, ,Hong Kong",20.2,2020/04/24 10:00
