text,pollution,date
"MK0038A, ,in ,Bitola Municipality,, ,Macedonia, the Former Yugoslav Republic of",19.28,2020/04/24 10:00
"MK0047A, ,in ,Centar Municipality,, ,Macedonia, the Former Yugoslav Republic of",26.3874,2020/04/24 10:00
"MT00008, ,in ,Attard,, ,Malta",10.7,2020/04/24 08:00
"MT00005, ,in ,Msida,, ,Malta",9.91,2020/04/24 08:00
"US Diplomatic Post: Bamako, ,in ,Bamako,, ,Mali",39,2020/04/24 10:00
"Ulaanbaatar, ,in ,N/A,, ,Madagascar",31,2020/04/24 10:00
"MK0048A, ,in ,Karpos Municipality,, ,Macedonia, the Former Yugoslav Republic of",20.3584,2020/04/24 10:00
"MT00007, ,in ,Gharb,, ,Malta",24.4,2019/12/12 16:00
"MT00004, ,in ,Zejtun (Citta' Beland),, ,Malta",21.9,2019/08/13 21:00
"SPABC14 COBACH, ,in ,BAJA CALIFORNIA NORTE,, ,Mexico",18,2020/04/24 10:00
"Hospital General de, ,in ,DISTRITO FEDERAL,, ,Mexico",14,2019/10/17 20:00
"Camarones, ,in ,DISTRITO FEDERAL,, ,Mexico",37,2020/04/24 10:00
"Universidad Autonoma, ,in ,BAJA CALIFORNIA NORTE,, ,Mexico",10,2018/04/20 15:00
"Merced, ,in ,DISTRITO FEDERAL,, ,Mexico",47,2020/04/24 10:00
"Santa Fe, ,in ,DISTRITO FEDERAL,, ,Mexico",22,2020/04/24 10:00
"Pedregal, ,in ,DISTRITO FEDERAL,, ,Mexico",25,2020/04/24 10:00
"Santiago Acahualtepe, ,in ,DISTRITO FEDERAL,, ,Mexico",N/A,N/A
"UAM Xochimilco, ,in ,DISTRITO FEDERAL,, ,Mexico",22,2020/04/24 10:00
"Estación Abasolo, ,in ,GUANAJUATO,, ,Mexico",8.1,2020/04/24 10:00
"UAM Iztapalapa, ,in ,DISTRITO FEDERAL,, ,Mexico",35,2020/04/24 10:00
"Estación Facultad de, ,in ,GUANAJUATO,, ,Mexico",100.6,2020/03/21 17:00
"Estación DIF, ,in ,GUANAJUATO,, ,Mexico",18.5,2020/04/24 10:00
"Estación Bomberos, ,in ,GUANAJUATO,, ,Mexico",48.5,2020/04/24 10:00
"Estación Guanajuato, ,in ,GUANAJUATO,, ,Mexico",14.9,2020/04/24 10:00
"US Diplomatic Post: Embassy Kathmandu, ,in ,Kathmandu,, ,Nepal",24,2020/04/24 00:15
"US Diplomatic Post: Rangoon, ,in ,Rangoon,, ,Myanmar",17,2020/04/24 04:30
"Amgalan, ,in ,Ulaanbaatar,, ,Mongolia",181,2019/03/13 22:30
"Phora Durbar Kathman, ,in ,N/A,, ,Nepal",18,2020/04/24 10:15
"Baruun 4 zam, ,in ,Ulaanbaatar,, ,Mongolia",162,2019/03/13 22:00
"1-r khoroolol, ,in ,Ulaanbaatar,, ,Mongolia",217,2019/03/13 21:45
"Bayankhoshuu, ,in ,Ulaanbaatar,, ,Mongolia",137,2019/03/13 18:00
"MNB, ,in ,Ulaanbaatar,, ,Mongolia",167,2019/03/13 22:30
"Bukhiin urguu, ,in ,Ulaanbaatar,, ,Mongolia",48,2019/03/13 22:00
"Tolgoit, ,in ,Ulaanbaatar,, ,Mongolia",121,2019/03/13 22:30
"US Diplomatic Post: Ulaanbaatar, ,in ,Ulaanbaatar,, ,Mongolia",107,2020/04/23 15:00
"Nisekh, ,in ,Ulaanbaatar,, ,Mongolia",81,2019/03/13 22:30
"Amsterdam-Einsteinweg, ,in ,Amsterdam,, ,Netherlands",1.9,2020/04/24 10:00
"Amsterdam-Hoogtij, ,in ,Amsterdam,, ,Netherlands",3.4,2020/04/24 10:00
"Amsterdam-Van Diemenstraat, ,in ,Amsterdam,, ,Netherlands",6.4,2020/04/24 10:00
"Amsterdam-Stadhouderskade, ,in ,Amsterdam,, ,Netherlands",5.8,2020/04/24 10:00
"Amsterdam-Westerpark, ,in ,Amsterdam,, ,Netherlands",5.5,2020/04/24 10:00
"Amsterdam-Spaarnwoude, ,in ,Amsterdam,, ,Netherlands",6.8,2020/04/24 10:00
"Amsterdam-Vondelpark, ,in ,Amsterdam,, ,Netherlands",4.8,2020/04/24 10:00
"Badhoevedorp-Sloterweg, ,in ,Badhoevedorp,, ,Netherlands",6.7,2020/04/24 10:00
"Biest Houtakker-Biestsestraat, ,in ,Biest Houtakker,, ,Netherlands",11.4244,2020/04/24 10:00
"Beverwijk West-Creutzberglaan, ,in ,Beverwijk West,, ,Netherlands",12.1,2020/04/24 10:00
"Breda-Tilburgseweg, ,in ,Breda,, ,Netherlands",12.6984,2020/04/24 10:00
"Breukelen-Snelweg, ,in ,Breukelen,, ,Netherlands",-999,2020/04/24 10:00
"Breda-Bastenakenstraat, ,in ,Breda,, ,Netherlands",10.1994,2020/04/24 10:00
"Botlek-Spoortunnel, ,in ,Botlek,, ,Netherlands",-995,2016/03/24 08:00
"Cabauw-Wielsekade, ,in ,Cabauw,, ,Netherlands",9.6114,2020/04/24 10:00
"Bekkestua, ,in ,Bærum,, ,Norway",6,2020/04/24 10:00
"Danmarks plass, ,in ,Bergen,, ,Norway",3.470867,2020/04/24 10:00
"Eilif Dues vei, ,in ,Bærum,, ,Norway",1.9,2020/04/24 10:00
"Klosterhaugen, ,in ,Bergen,, ,Norway",2.010067,2020/04/24 10:00
"Loddefjord, ,in ,Bergen,, ,Norway",1.853783,2020/04/24 10:00
"Rådhuset, ,in ,Bergen,, ,Norway",19.5,2018/01/04 11:00
"Rådal, ,in ,Bergen,, ,Norway",4.300592,2020/04/24 10:00
"Olav V gate, ,in ,Bodø,, ,Norway",5.263675,2020/04/24 10:00
"Rolland, Åsane, ,in ,Bergen,, ,Norway",2.062081,2020/04/24 10:00
"Vårveien, ,in ,Drammen,, ,Norway",3.3,2020/04/24 10:00
"Backeparken, ,in ,Drammen,, ,Norway",1.6,2020/04/24 10:00
"Leiret, ,in ,Elverum,, ,Norway",1.814117,2020/04/24 10:00
"Ringsakervegen, ,in ,Brumunddal,, ,Norway",7.1,2020/04/24 10:00
"Nygaardsgata, ,in ,Fredrikstad,, ,Norway",0.969472,2020/04/24 10:00
"St.Croix, ,in ,Fredrikstad,, ,Norway",2,2020/04/24 10:00
"Islamabad, ,in ,N/A,, ,Pakistan",19,2020/04/24 10:00
"SPARTAN - Ilorin University, ,in ,Ilorin,, ,Nigeria",4.1,2015/10/28 16:00
"Lahore, ,in ,N/A,, ,Pakistan",23,2020/04/24 10:00
"Karachi, ,in ,N/A,, ,Pakistan",24,2020/04/24 10:00
"Kematen, ,in ,Austria,, ,Austria",N/A,N/A
"CAMPO DE MARTE, ,in ,Lima,, ,Peru",7.98,2020/04/24 11:00
"Peshawar, ,in ,N/A,, ,Pakistan",29,2020/04/24 10:00
"CARABAYLLO, ,in ,Lima,, ,Peru",6.22,2020/04/24 10:00
"SAN BORJA, ,in ,Lima,, ,Peru",7.71,2020/04/24 11:00
"PUENTE PIEDRA, ,in ,Lima,, ,Peru",0,2018/10/13 20:00
"HUACHIPA, ,in ,Lima,, ,Peru",0,2018/10/13 20:00
"SAN JUAN DE LURIGANCHO, ,in ,Lima,, ,Peru",9.48,2020/04/24 11:00
"SANTA ANITA, ,in ,Lima,, ,Peru",31.09,2018/10/13 21:00
"SAN MARTIN DE PORRES, ,in ,Lima,, ,Peru",16,2020/03/12 16:00
"US Diplomatic Post: Lima, ,in ,Lima,, ,Peru",18,2020/04/24 05:00
"VILLA MARIA DEL TRIUNFO, ,in ,Lima,, ,Peru",0,2020/04/24 09:00
"PT04006, ,in ,Évora,, ,Portugal",3,2020/04/24 07:00
"PT02004, ,in ,Aveiro,, ,Portugal",21,2020/04/24 10:00
"PT05012, ,in ,Faro,, ,Portugal",0.3,2020/04/24 06:00
"PT05007, ,in ,Faro,, ,Portugal",9.2,2020/04/24 09:00
"PT02020, ,in ,Castelo Branco,, ,Portugal",4,2020/04/24 10:00
"PT06005, ,in ,Ilha da Madeira,, ,Portugal",5.4,2020/04/24 09:00
"PT06004, ,in ,Ilha da Madeira,, ,Portugal",2.4,2020/04/24 09:00
"PT07001, ,in ,Ilha do Faial,, ,Portugal",103.4,2020/04/18 12:00
"PT06008, ,in ,Ilha da Madeira,, ,Portugal",2.3,2020/04/24 09:00
"PT03089, ,in ,Lisboa,, ,Portugal",11.3,2020/04/23 08:00
"PT03072, ,in ,Lisboa,, ,Portugal",9.9,2020/04/16 13:00
"PT03071, ,in ,Lisboa,, ,Portugal",10.8,2020/04/22 13:00
"PT03102, ,in ,Lisboa,, ,Portugal",2,2020/04/15 08:00
"PT02019, ,in ,Leiria,, ,Portugal",14,2020/04/24 05:00
"PT01024, ,in ,Porto,, ,Portugal",0,2019/12/24 16:00
"Augustów-Miejska, ,in ,Augustów,, ,Poland",4.3,2020/04/24 10:00
"WIOŚ Biskupiec-Mobilna, ,in ,Biskupiec,, ,Poland",5.36899,2020/04/24 10:00
"Bielsko-Biała, ul.Partyzantów, ,in ,Bielsko-Biała,, ,Poland",11.7984,2020/04/24 09:00
"Borsukowizna-Wiejska, ,in ,Borsukowizna,, ,Poland",3.1,2020/04/24 10:00
"Bydgoszcz Warszawska, ,in ,Bydgoszcz,, ,Poland",8.8,2020/04/24 10:00
"Bydgoszcz Plac Poznański, ,in ,Bydgoszcz,, ,Poland",14.1,2020/04/24 10:00
"Białystok-Miejska, ,in ,Białystok,, ,Poland",7,2020/04/24 10:00
"Duszniki-Zdrój, ,in ,Duszniki-Zdrój,, ,Poland",29.0594,2019/12/31 22:00
"AM8 Gdańsk Wrzeszcz, ,in ,Gdańsk,, ,Poland",6.34361,2020/04/24 10:00
"WIOŚ Elbląg ul. Bażyńskiego, ,in ,Elbląg,, ,Poland",6.42821,2020/04/24 10:00
"Dębica-Grottgera-WIOS, ,in ,Dębica,, ,Poland",12.5259,2020/04/24 10:00
"Chełmno, Łunawska 3A, ,in ,Chełmno,, ,Poland",12.6,2020/04/24 10:00
"WIOŚ Gołdap-Uzdrowisko, ,in ,Gołdap,, ,Poland",11.4357,2019/12/14 05:00
"Gorzów Wlkp. ul. Kosynierów Gdyńskich, ,in ,Gorzów Wielkopolski,, ,Poland",10.3636,2020/04/24 10:00
"Goczałkowice Zdrój, ul. Parkowa, ,in ,Goczałkowice-Zdrój,, ,Poland",12.1226,2020/04/24 10:00
"US Diplomatic Post: Dharan, ,in ,Dharan,, ,Saudi Arabia",23,2019/07/16 18:00
"Dhahran, ,in ,N/A,, ,Saudi Arabia",27,2020/04/24 10:00
"SPARTAN - NUS, ,in ,Singapore,, ,Singapore",282.9,2015/09/25 00:00
"RS0032A, ,in ,Grad Beograd,, ,Serbia",28.025,2020/04/24 09:00
"SPARTAN - Manila Observatory, ,in ,Manila,, ,Philippines",9.7,2014/05/13 03:00
"SK0025A, ,in ,Banskobystrický kraj,, ,Slovakia",12.134,2020/04/24 10:00
"SK0022A, ,in ,Banskobystrický kraj,, ,Slovakia",12.479,2020/04/24 10:00
"SK0214A, ,in ,Banskobystrický kraj,, ,Slovakia",17.698,2020/04/24 10:00
"SK0263A, ,in ,Banskobystrický kraj,, ,Slovakia",12.968,2020/04/24 10:00
"SK0001A, ,in ,Bratislavský kraj,, ,Slovakia",6.9613,2020/04/24 10:00
"SK0262A, ,in ,Banskobystrický kraj,, ,Slovakia",19.196,2020/04/24 10:00
"SK0268A, ,in ,Banskobystrický kraj,, ,Slovakia",15.366,2020/04/24 10:00
"SK0004A, ,in ,Bratislavský kraj,, ,Slovakia",34.047,2020/04/24 10:00
"SK0048A, ,in ,Bratislavský kraj,, ,Slovakia",22.618,2020/04/24 10:00
"SK0002A, ,in ,Bratislavský kraj,, ,Slovakia",27.167,2020/04/24 10:00
"SK0407A, ,in ,Bratislavský kraj,, ,Slovakia",19.284,2020/04/24 10:00
"SK0030A, ,in ,Košický kraj,, ,Slovakia",19.266,2020/04/24 10:00
"SK0265A, ,in ,Košický kraj,, ,Slovakia",8.4777,2020/04/24 10:00
"ES1867A, ,in ,A Coruña,, ,Spain",2,2020/04/11 08:00
"SK0018A, ,in ,Košický kraj,, ,Slovakia",13.474,2020/04/24 10:00
"ES1138A, ,in ,A Coruña,, ,Spain",11,2019/12/26 15:00
"SK0264A, ,in ,Košický kraj,, ,Slovakia",11.218,2020/04/24 10:00
"ES1868A, ,in ,A Coruña,, ,Spain",4,2020/04/11 08:00
"ES1968A, ,in ,Alicante/Alacant,, ,Spain",1,2020/04/21 08:00
"ES1901A, ,in ,A Coruña,, ,Spain",10,2020/04/11 08:00
"ES1914A, ,in ,Alicante/Alacant,, ,Spain",1,2020/04/19 17:00
"ES1535A, ,in ,Albacete,, ,Spain",6,2020/04/22 12:00
"ES2008A, ,in ,Alicante/Alacant,, ,Spain",1,2020/04/21 08:00
"ES1489A, ,in ,Araba/Álava,, ,Spain",5,2020/04/24 03:00
"ES1492A, ,in ,Araba/Álava,, ,Spain",15,2020/04/24 02:00
"ES1502A, ,in ,Araba/Álava,, ,Spain",10,2020/04/24 03:00
"ES0825A, ,in ,Asturias,, ,Spain",14,2020/04/15 07:00
"ES1269A, ,in ,Asturias,, ,Spain",21,2020/04/24 01:00
"ES0880A, ,in ,Asturias,, ,Spain",10,2020/04/24 01:00
"ES1673A, ,in ,Araba/Álava,, ,Spain",7,2020/04/24 03:00
"US Diplomatic Post: Colombo, ,in ,Colombo,, ,Sri Lanka",9,2020/04/23 13:30
"CH0008A, ,in ,Basel-Landschaft,, ,Switzerland",10.0572,2020/04/24 10:00
"CH0031A, ,in ,Bern,, ,Switzerland",10.5114,2020/04/24 10:00
"Beijing, ,in ,N/A,, ,Switzerland",51,2020/04/24 10:00
"CH0011A, ,in ,Ticino,, ,Switzerland",23.3659,2020/04/24 10:00
"CH0002R, ,in ,Vaud,, ,Switzerland",9.9584,2020/04/24 10:00
"CH0033A, ,in ,Ticino,, ,Switzerland",16.3104,2020/04/24 10:00
"CH0005A, ,in ,Zürich,, ,Switzerland",9.0674,2020/04/24 10:00
"CH0005R, ,in ,Schwyz,, ,Switzerland",6.9342,2020/04/24 10:00
"CH0010A, ,in ,Zürich,, ,Switzerland",8.9182,2020/04/24 10:00
"Hornsgatan, ,in ,Stockholm,, ,Sweden",28.4445,2018/10/13 21:00
"Lilla Essingen (E4/E20), ,in ,Stockholm,, ,Sweden",25.5957,2018/10/13 21:00
"Uppsala Kungsgatan, ,in ,Uppsala,, ,Sweden",26.826,2018/10/13 21:00
"Puli, ,in ,南投縣,, ,Taiwan",14,2020/04/24 11:00
"Nantou, ,in ,南投縣,, ,Taiwan",2,2017/06/14 09:00
"Zhushan, ,in ,南投縣,, ,Taiwan",39,2020/04/24 11:00
"Puzi, ,in ,嘉義縣,, ,Taiwan",17,2020/04/24 11:00
"Sveavägen, ,in ,Stockholm,, ,Sweden",27.7826,2018/10/13 21:00
"Chiayi, ,in ,嘉義市,, ,Taiwan",11,2017/06/14 09:00
"Xingang, ,in ,嘉義縣,, ,Taiwan",5,2017/06/14 09:00
"Dongshan, ,in ,宜蘭縣,, ,Taiwan",3,2017/06/14 09:00
"Yilan, ,in ,宜蘭縣,, ,Taiwan",4,2017/06/14 09:00
"Keelung, ,in ,基隆市,, ,Taiwan",9,2020/04/24 11:00
"Pingtung, ,in ,屏東縣,, ,Taiwan",2,2017/06/14 07:00
"Changhua, ,in ,彰化縣,, ,Taiwan",10,2020/04/24 11:00
"Hengchun, ,in ,屏東縣,, ,Taiwan",7,2020/04/24 11:00
"Chaozhou, ,in ,屏東縣,, ,Taiwan",4,2017/06/14 09:00
"AT30599, ,in ,Niederösterreich,, ,Austria",N/A,N/A
"US Diplomatic Post: Dushanbe, ,in ,Dushanbe,, ,Tajikistan",7,2020/04/24 10:00
"US Diplomatic Post: Ashgabat, ,in ,Ashgabat,, ,Turkmenistan",-999,2020/04/24 07:00
"US Diplomatic Post: Dubai, ,in ,Dubai,, ,United Arab Emirates",28,2020/04/24 11:00
"US Diplomatic Post: Abu Dhabi, ,in ,Abu Dhabi,, ,United Arab Emirates",19,2020/04/24 10:00
"US Diplomatic Post: Kampala, ,in ,Kampala,, ,Uganda",25,2020/04/24 10:00
"Xianxi, ,in ,彰化縣,, ,Taiwan",5,2017/06/14 09:00
"US Diplomatic Post: Abu Dhabi, ,in ,Abu Dhabi,, ,United Arab Emirates",19,2020/04/24 10:00
"Aberdeen, ,in ,Aberdeen,, ,United Kingdom",6,2020/04/24 11:00
"Barnstaple A39, ,in ,Barnstaple,, ,United Kingdom",24,2020/04/24 11:00
"Birmingham Acocks Green, ,in ,Birmingham,, ,United Kingdom",14,2020/04/24 11:00
"Belfast Centre, ,in ,Belfast,, ,United Kingdom",17,2020/04/24 11:00
"Birmingham Tyburn, ,in ,Birmingham,, ,United Kingdom",3,2017/06/06 16:00
"Bournemouth, ,in ,Bournemouth,, ,United Kingdom",37,2020/04/24 11:00
"Birmingham Tyburn Roadside, ,in ,Birmingham,, ,United Kingdom",15,2016/09/07 15:00
"Auchencorth Moss, ,in ,Auchencorth,, ,United Kingdom",6,2020/04/24 11:00
"Blackpool Marton, ,in ,Blackpool,, ,United Kingdom",8,2020/04/24 11:00
"Bristol St Paul's, ,in ,Bristol,, ,United Kingdom",21,2020/04/24 11:00
"Carlisle Roadside, ,in ,Carlisle,, ,United Kingdom",12,2020/04/24 11:00
"Cardiff Centre, ,in ,Cardiff,, ,United Kingdom",16,2020/04/24 11:00
"Cle Elum_Mobile, ,in ,007,, ,United States",0,2018/08/17 22:00
"Greenock A8 Roadside, ,in ,Central Scotland,, ,United Kingdom",7,2020/04/24 11:00
"Chatham Roadside, ,in ,Chatham,, ,United Kingdom",37,2020/04/24 11:00
"Leavenworth_Mobile, ,in ,007,, ,United States",10,2018/11/09 19:00
"Brighton Preston Park, ,in ,Brighton,, ,United Kingdom",22,2020/04/24 11:00
"SPARTAN - Vietnam Acad. Sci., ,in ,Hanoi,, ,Viet Nam",36.9,2015/08/21 01:00
"US Diplomatic Post: Ho Chi Minh City, ,in ,Ho Chi Minh City,, ,Viet Nam",38,2020/04/24 10:00
"Tashkent, ,in ,N/A,, ,Uzbekistan",25,2020/04/24 10:00
"US Diplomatic Post: Hanoi, ,in ,Hanoi,, ,Viet Nam",27,2020/04/23 23:00
"US Diplomatic Post: Sarajevo, ,in ,Sarajevo,, ,Bosnia and Herzegovina",20,2020/04/24 07:00
"Colombo, ,in ,N/A,, ",8,2020/04/24 09:30
"US Diplomatic Post: San Jose, ,in ,San Jose,, ,Costa Rica",8,2020/04/24 07:00
"US Diplomatic Post: Baghdad, ,in ,Baghdad,, ,Iraq",15,2020/04/24 05:00
"Kuwait City, ,in ,N/A,, ",49,2020/04/24 10:00
"Dushanbe, ,in ,N/A,, ",8,2020/04/24 10:00
"Pristina, ,in ,N/A,, ",13,2020/04/24 10:00
"Hanoi, ,in ,N/A,, ",32,2020/04/24 10:00
"Ho Chi Minh City, ,in ,N/A,, ",38,2020/04/24 10:00
"US Diplomatic Post: Curacao, ,in ,Curacao,, ,Curaçao",6,2020/04/24 07:00
"US Diplomatic Post: Ashgabat, ,in ,Ashgabat,, ,Turkmenistan",-999,2020/04/24 07:00
